created_at,job,price(usd),matched_keywords_job,combined_keywords
2022-09-06 14:19:26,Cambio de cilindro,20.77,Cilindro,cilindro
2022-09-07 14:52:29,Cilindro,20.07,Cilindro,
2022-09-08 16:26:54,Cambio de cilindro,20.77,Cilindro,cilindro
2022-09-09 14:45:03,Cambio de cilindro,20.77,Cilindro,cilindro
2022-09-09 19:11:05,Cambio de cilindro,29.58,Cilindro,cilindro
2022-09-09 19:19:53,Cambio de cilindro y estrella mediana,34.93,Cilindro,"cilindro, estrella"
2022-09-10 15:46:31,Cambio de cilindro y ruedas,27.82,Cilindro,"cilindro, ruedas, rueda"
2022-09-10 16:06:13,Cambio de cilindro,20.77,Cilindro,cilindro
2022-09-28 15:07:38,Cambio de cilindro,20.77,Cilindro,cilindro
2022-09-29 16:09:04,Revisar y colocar cilindro de la anterior,51.06,Cilindro,cilindro
2022-09-29 18:37:31,Revisar cilindro,20.77,Cilindro,cilindro
2022-10-05 17:53:38,Cambio de cilindro,17.25,Cilindro,cilindro
2022-10-06 17:18:58,cilindro y estrella,27.13,Cilindro,"cilindro, estrella"
2022-10-11 15:07:19,"Cilindro, suplementar estrella y rellenar",28.36,Cilindro,"estrella, rellenar"
2022-10-11 16:47:00,"Rellenar y retap. asiento, pintada al aro, cilindro y 2 ruedas",31.58,Cilindro,"cilindro, ruedas, rueda"
2022-10-13 17:33:03,"Revisar respaldo, y retap. asiento parcial y apoyacabezas, cilindro",43.86,Cilindro,cilindro
2022-10-15 14:20:51,Cilindro,17.25,Cilindro,
2022-10-15 15:24:36,Cilindro,17.25,Cilindro,
2022-10-25 14:33:20,Cambio de cilindro,17.25,Cilindro,cilindro
2022-10-27 19:28:01,Cambio de cilindro,18.13,Cilindro,cilindro
2022-11-07 20:56:38,Cambio de cilindro,29.67,Cilindro,cilindro
2022-11-10 19:40:07,"colocar cilindro, chapòn c/manija y madera asiento.",59.33,Cilindro,cilindro
2022-11-18 16:37:13,cilindro y presupuestar,30.86,Cilindro,cilindro
2022-11-25 15:42:13,Cambio de cilindro y 1 rueda,32.87,Cilindro,"cilindro, rueda"
2022-11-25 17:14:34,Cambio de cilindro,46.41,Cilindro,cilindro
2022-11-28 19:29:21,Cambio de cilindro ( largo ),43.06,Cilindro,cilindro
2022-12-15 15:58:51,Intercambiar cilindro,7.25,Cilindro,cilindro
2022-12-26 15:46:27,Cambio de cilindro / Sin cargo,0.0,Cilindro,cilindro
2022-12-27 15:53:17,Reparar apoyabrazo sillòn y cilindro en base,52.66,Cilindro,cilindro
2022-12-28 17:47:41,Revisar y cambiar cilindro,36.71,Cilindro,cilindro
2022-12-29 14:45:53,Cambio de cilindro,34.3,Cilindro,cilindro
2022-12-29 17:58:18,cambiar cilindro,34.3,Cilindro,cilindro
2022-12-29 18:43:56,Cambiar chapòn y revisar/ se baja cilindro,57.39,Cilindro,cilindro
2023-01-02 15:43:16,Revisar cilindro,25.86,Cilindro,cilindro
2023-01-02 16:27:30,NV5 VER RELLENO CON BULTO Y revisar 7010 chapòn y cilindro,0.0,Cilindro,cilindro
2023-01-03 19:31:30,"Chapón, cilindro, contacto y 2 ruedas",53.19,Cilindro,"cilindro, ruedas, rueda"
2023-01-20 15:56:25,Cambio de cilindro,28.5,Cilindro,cilindro
2023-01-20 18:20:39,"1 rueda, fijar cilindro altura maxima",6.33,Cilindro,"cilindro, rueda"
2023-01-20 20:41:29,"Estrella cromada, cilindro y ruedas",50.53,Cilindro,"cilindro, ruedas, rueda"
2023-01-25 17:32:38,Cambio de cilindro,0.0,Cilindro,cilindro
2023-01-30 19:15:35,Revisar y presupuestar. cilindro y estrella,29.95,Cilindro,"cilindro, estrella"
2023-01-31 16:27:26,Colocar cilindro cromado corto,13.19,Cilindro,cilindro
2023-02-25 17:49:40,Cilindro y ver retapizado asiento y parche ò completo,49.06,Cilindro,
2023-03-01 18:03:05,Cilindro y revisar,30.41,Cilindro,
2023-03-06 17:12:01,Cambiar cilindro,27.84,Cilindro,cilindro
2023-03-09 20:58:16,Cambiar el cilindro neumatico. Tambien revisarr y avisar si hay algo mas. + 5 RUEDAS 4500,44.59,Cilindro,cilindro
2023-03-10 15:19:12,cambio de cilindro,33.51,Cilindro,cilindro
2023-03-20 18:20:40,Cilindro y revisar,32.99,Cilindro,
2023-03-22 15:04:37,Cilindro y revisar,33.25,Cilindro,
2023-04-04 19:33:31,Cilindro,25.97,Cilindro,
2023-04-10 17:40:25,Cambiar cilindro,25.97,Cilindro,cilindro
2023-04-12 16:11:19,"Retapizado, perilla chapón y revisar cilindro",48.27,Cilindro,"cilindro, chapón"
2023-04-15 14:20:25,Revisar y presupuestar ( cilindro ) No Tapizado,37.64,Cilindro,cilindro
2023-04-22 16:06:29,Cilindro y revisar,27.06,Cilindro,
2023-04-24 19:02:43,Cambiar cilindro. Ruedas. Cilindro y tornillo,70.78,Cilindro,cilindro
2023-05-04 16:24:27,Cambiar cilindro,28.25,Cilindro,cilindro
2023-05-05 19:41:58,"Ya se le cambiò el cilindro, se mueve. Revisar",0.0,Cilindro,cilindro
2023-05-08 14:12:18,Cilindro y revisar,30.93,Cilindro,
2023-05-08 16:32:13,Revisar y presupuestar / cilindro,42.0,Cilindro,cilindro
2023-05-11 18:00:34,Cambiar cilindro y basculante,50.31,Cilindro,"cilindro, basculante"
2023-05-12 15:56:20,Cambiar cilindro,30.52,Cilindro,cilindro
2023-05-12 16:21:55,"Cilindro, retapizado comp. y rellenar asiento",53.2,Cilindro,rellenar
2023-05-16 18:47:38,Cambiar cilindro y ruedas,0.0,Cilindro,"cilindro, ruedas, rueda"
2023-05-29 14:48:15,Cambiar cilindro,30.93,Cilindro,cilindro
2023-05-30 13:58:22,Cilindro y revisar,49.07,Cilindro,
2023-06-14 17:28:46,Revisar cilindro y cotizar retapizado,214.72,Cilindro,cilindro
2023-06-15 19:00:12,Cilindro y perilla chapòn,34.56,Cilindro,
2023-06-23 14:37:33,Cambiar cilindro,33.44,Cilindro,cilindro
2023-06-23 14:47:56,Cambiar cilindro,33.45,Cilindro,cilindro
2023-06-23 15:21:21,Cambiar cilindro,33.44,Cilindro,cilindro
2023-06-23 19:07:52,Revisar cilindro,33.33,Cilindro,cilindro
2023-06-28 16:44:35,Cambiar cilindro - Reviso,33.46,Cilindro,cilindro
2023-06-29 16:56:55,Cambiar cilindro. Revisar,33.44,Cilindro,cilindro
2023-07-01 14:17:08,"Revisar y presupuestar ( chequear x las dudas, cilindro )",15.6,Cilindro,cilindro
2023-07-01 14:26:26,"Cucurucho, CILINDRO, ESTRELLA y revisar y armar",44.86,Cilindro,
2023-07-07 17:36:20,Cambiar cilindro,31.19,Cilindro,cilindro
2023-07-08 13:43:37,Cambiar cilindro,0.0,Cilindro,cilindro
2023-07-10 19:35:24,Cambio de cilindro,31.19,Cilindro,cilindro
2023-07-11 14:33:23,cilindro,0.0,Cilindro,cilindro
2023-07-19 18:03:25,Cilindro y revisar,31.19,Cilindro,
2023-07-22 14:29:14,Cambiar cilindro,31.19,Cilindro,cilindro
2023-07-24 14:49:46,Revisar cilindro pasado,0.0,Cilindro,cilindro
2023-07-25 19:46:46,Tapizado completo en ecocuero negro y cilindro,58.72,Cilindro,cilindro
2023-07-27 19:05:39,Cambiar cilindro en los 3 y ruedas en verdes ( nuevas ò usadas ),0.0,Cilindro,"cilindro, ruedas, rueda"
2023-07-31 18:15:20,Cambiar cilindro,31.19,Cilindro,cilindro
2023-08-01 16:31:43,Cambiar cilindro,0.0,Cilindro,cilindro
2023-08-02 19:14:36,Cilindro y revisar,24.83,Cilindro,
2023-08-04 14:45:05,Cambiar cilindro - Reviso,30.34,Cilindro,cilindro
2023-08-07 16:26:32,Cilindro y revisar,43.45,Cilindro,
2023-08-12 16:47:23,Ver cilindro pasado,14.48,Cilindro,cilindro
2023-08-16 16:14:48,Revisar y presupuestar. Cambiar cilindro,32.41,Cilindro,cilindro
